"Mfr","Model","MfrName","ModelName"
"VID_0001","","Fry's Electronics",""
"VID_0001","PID_142b","Fry's Electronics","Arbiter Systems, Inc."
"VID_0001","PID_7778","Fry's Electronics","Counterfeit flash drive [Kingston]"
"VID_0002","","Ingram",""
"VID_0003","","Club Mac",""
"VID_0004","","Nebraska Furniture Mart",""
"VID_0053","","Planex",""
"VID_0053","PID_5301","Planex","GW-US54ZGL 802.11bg"
"VID_0079","","DragonRise Inc.",""
"VID_0079","PID_0006","DragonRise Inc.","Generic USB Joystick"
"VID_0079","PID_0011","DragonRise Inc.","Gamepad"
"VID_0105","","Trust International B.V.",""
"VID_0105","PID_145f","Trust International B.V.","NW-3100 802.11b/g 54Mbps Wireless Network Adapter [zd1211]"
"VID_0145","","Unknown",""
"VID_0145","PID_0112","Unknown","Card Reader"
"VID_017c","","MLK",""
"VID_017c","PID_145f","MLK","Trust Deskset"
"VID_0204","","Chipsbank Microelectronics Co., Ltd",""
"VID_0204","PID_6025","Chipsbank Microelectronics Co., Ltd","CBM2080 Flash drive controller"
"VID_0204","PID_6026","Chipsbank Microelectronics Co., Ltd","CBM1180 Flash drive controller"
"VID_0218","","Hangzhou Worlde",""
"VID_0218","PID_0301","Hangzhou Worlde","MIDI Port"
"VID_02ad","","HUMAX Co., Ltd.",""
"VID_02ad","PID_138c","HUMAX Co., Ltd.","PVR Mass Storage"
"VID_0300","","MM300 eBook Reader",""
"VID_0324","","OCZ Technology Inc",""
"VID_0324","PID_bc06","OCZ Technology Inc","OCZ ATV USB 2.0 Flash Drive"
"VID_0324","PID_bc08","OCZ Technology Inc","OCZ Rally2/ATV USB 2.0 Flash Drive"
"VID_0325","","OCZ Technology Inc",""
"VID_0325","PID_ac02","OCZ Technology Inc","ATV Turbo / Rally2 Dual Channel USB 2.0 Flash Drive"
"VID_0386","","LTS",""
"VID_0386","PID_0001","LTS","PSX for USB Converter"
"VID_03d9","","Shenzhen Sinote Tech-Electron Co., Ltd",""
"VID_03d9","PID_0499","Shenzhen Sinote Tech-Electron Co., Ltd","SE340D PC Remote Control"
"VID_03da","","Bernd Walter Computer Technology",""
"VID_03da","PID_0002","Bernd Walter Computer Technology","HD44780 LCD interface"
"VID_03e8","","EndPoints, Inc.",""
"VID_03e8","PID_0004","EndPoints, Inc.","SE401 Webcam"
"VID_03e8","PID_0008","EndPoints, Inc.","101 Ethernet [klsi]"
"VID_03e8","PID_0015","EndPoints, Inc.","ATAPI Enclosure"
"VID_03e8","PID_2123","EndPoints, Inc.","SiPix StyleCam Deluxe"
"VID_03e8","PID_8004","EndPoints, Inc.","Aox 99001"
"VID_03e9","","Thesys Microelectronics",""
"VID_03ea","","Data Broadcasting Corp.",""
"VID_03eb","","Atmel Corp.",""
"VID_03eb","PID_0902","Atmel Corp.","4-Port Hub"
"VID_03eb","PID_2002","Atmel Corp.","Mass Storage Device"
"VID_03eb","PID_2015","Atmel Corp.","at90usbkey sample firmware (HID keyboard)"
"VID_03eb","PID_2018","Atmel Corp.","at90usbkey sample firmware (CDC ACM)"
"VID_03eb","PID_2019","Atmel Corp.","stk525 sample firmware (microphone)"
"VID_03eb","PID_201c","Atmel Corp.","at90usbkey sample firmware (HID mouse)"
"VID_03eb","PID_201d","Atmel Corp.","at90usbkey sample firmware (HID generic)"
"VID_03eb","PID_2022","Atmel Corp.","at90usbkey sample firmware (composite device)"
"VID_03eb","PID_2040","Atmel Corp.","LUFA Test PID"
"VID_03eb","PID_2041","Atmel Corp.","LUFA Mouse Demo Application"
"VID_03eb","PID_2042","Atmel Corp.","LUFA Keyboard Demo Application"
"VID_03eb","PID_2043","Atmel Corp.","LUFA Joystick Demo Application"
"VID_03eb","PID_2044","Atmel Corp.","LUFA CDC Demo Application"
"VID_03eb","PID_2045","Atmel Corp.","LUFA Mass Storage Demo Application"
"VID_03eb","PID_2046","Atmel Corp.","LUFA Audio Output Demo Application"
"VID_03eb","PID_2047","Atmel Corp.","LUFA Audio Input Demo Application"
"VID_03eb","PID_2048","Atmel Corp.","LUFA MIDI Demo Application"
"VID_03eb","PID_2049","Atmel Corp.","Stripe Snoop Magnetic Stripe Reader"
"VID_03eb","PID_204a","Atmel Corp.","LUFA CDC Class Bootloader"
"VID_03eb","PID_204b","Atmel Corp.","LUFA USB to Serial Adapter Project"
"VID_03eb","PID_204c","Atmel Corp.","LUFA RNDIS Demo Application"
"VID_03eb","PID_204d","Atmel Corp.","LUFA Combined Mouse and Keyboard Demo Application"
"VID_03eb","PID_204e","Atmel Corp.","LUFA Dual CDC Demo Application"
"VID_03eb","PID_204f","Atmel Corp.","LUFA Generic HID Demo Application"
"VID_03eb","PID_2060","Atmel Corp.","Benito Programmer Project"
"VID_03eb","PID_2061","Atmel Corp.","LUFA Combined Mass Storage and Keyboard Demo Application"
"VID_03eb","PID_2062","Atmel Corp.","LUFA Combined CDC and Mouse Demo Application"
"VID_03eb","PID_2063","Atmel Corp.","LUFA Datalogger Device"
"VID_03eb","PID_2064","Atmel Corp.","Interfaceless Control-Only LUFA Devices"
"VID_03eb","PID_2065","Atmel Corp.","LUFA Test and Measurement Demo Application"
"VID_03eb","PID_2066","Atmel Corp.","LUFA Multiple Report HID Demo"
"VID_03eb","PID_2068","Atmel Corp.","LUFA Virtual Serial/Mass Storage Demo"
"VID_03eb","PID_2069","Atmel Corp.","LUFA Webserver Project"
"VID_03eb","PID_2103","Atmel Corp.","JTAG ICE mkII"
"VID_03eb","PID_2104","Atmel Corp.","AVR ISP mkII"
"VID_03eb","PID_2105","Atmel Corp.","AVRONE!"
"VID_03eb","PID_2106","Atmel Corp.","STK600 development board"
"VID_03eb","PID_2107","Atmel Corp.","AVR Dragon"
"VID_03eb","PID_2109","Atmel Corp.","STK541 ZigBee Development Board"
"VID_03eb","PID_210d","Atmel Corp.","XPLAIN evaluation kit (CDC ACM)"
"VID_03eb","PID_2122","Atmel Corp.","XMEGA-A1 Explained evaluation kit"
"VID_03eb","PID_2310","Atmel Corp.","EVK11xx evaluation board"
"VID_03eb","PID_2fe4","Atmel Corp.","ATxmega32A4U DFU bootloader"
"VID_03eb","PID_2ffb","Atmel Corp.","at90usb AVR DFU bootloader"
"VID_03eb","PID_2ffd","Atmel Corp.","at89c5130/c5131 DFU bootloader"
"VID_03eb","PID_2fff","Atmel Corp.","at89c5132/c51snd1c DFU bootloader"
"VID_03eb","PID_3301","Atmel Corp.","at43301 4-Port Hub"
"VID_03eb","PID_3312","Atmel Corp.","4-Port Hub"
"VID_03eb","PID_4102","Atmel Corp.","AirVast W-Buddie WN210"
"VID_03eb","PID_5601","Atmel Corp.","at76c510 Prism-II 802.11b Access Point"
"VID_03eb","PID_5603","Atmel Corp.","Cisco 7920 WiFi IP Phone"
"VID_03eb","PID_6119","Atmel Corp.","AT91SAM CDC Demo Application"
"VID_03eb","PID_6124","Atmel Corp.","at91sam SAMBA bootloader"
"VID_03eb","PID_6127","Atmel Corp.","AT91SAM HID Keyboard Demo Application"
"VID_03eb","PID_6129","Atmel Corp.","AT91SAM Mass Storage Demo Application"
"VID_03eb","PID_6200","Atmel Corp.","AT91SAM HID Mouse Demo Application"
