"EventID","EventDescription"
"4096","WINS has initialized its log for this invocation."
"4097","WINS initialized properly and is now fully operational."
"4098","WINS was terminated by the service controller. WINS will gracefully terminate."
"4099","WINS is being gracefully terminated by the administrator. The address of the administrator is %1."
"4100","WINS is being abruptly terminated by the administrator. The address of the administrator is %1."
"4101","WINS received a Name Request with an invalid operation code. The request is being thrown away."
"4102","The connection was aborted by the remote WINS. Remote WINS may not be configured to replicate with the server."
"4103","There are no records in the registry for the key."
"4104","There are no pull records."
"4105","There are no push records."
"4106","The WINS database of name-to-address mappings is empty. It could mean that a previous invocation of WINS created the database and then went down before any registration could be done."
"4107","The WINS database of owner-to-address mappings is empty. It could mean that a previous invocation of WINS created the table and then went down before its own entry could be added. The WINS server went down very fast (even before all its threads could become fully operational)."
"4108","WINS could not read the InitTimeReplication field of the pull/push key."
"4109","WINS could not read the Refresh interval from the registry"
"4110","WINS could not read the Tombstone interval from the registry"
"4111","WINS could not read the Verify interval from the registry"
"4112","WINS could not read the retry count for retrying communication with a remote WINS."
"4113","WINS could not read the Tombstone Timeout from the registry."
"4114","WINS could not read the ConsistencyCheck value (type DWORD) from the Parameters\ConsistencyCheck subkey in the registry. The first consistency check is done at the time specified in the SpTime entry under the ConsistencyCheck subkey and is limited by the MaxRecsAtATime value. If the time is not specified, the check is done at 2 am."
"4115","WINS could not read the MaxRecsAtATime value (type DWORD) in the Wins\Parameters\ConsistencyCheck subkey of the registry. Set this value if you do not want WINS to replicate more than a set number of records in one cycle while doing periodic consistency checks of the WINS database. When doing a consistency check, WINS replicates all records of an owner WINS by either going to that WINS or to a replication partner. At the end of doing a consistency check for an owner's records, it checks to see if it has replicated more than the specified value in the current consistency check cycle. If the value has been exceeded, the consistency check stops, otherwise it continues. In the next cycle, it starts from where it left off and wraps around to the first owner if required."
